"REF_DATE","GEO","DGUID","Business characteristics","Length of time business or organization can continue to operate before considering further staffing actions, closure or bankruptcy","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2016A000011124","1 to 4 employees","Business or organization can continue to operate for less than 1 month","Percent","239","units","0","v1229281820","1.19.1","0.9","A","","","1"
"2020","Canada","2016A000011124","1 to 4 employees","Business or organization can continue to operate for 1 month to less than 3 months","Percent","239","units","0","v1229281834","1.19.2","5.4","A","","","1"
"2020","Canada","2016A000011124","1 to 4 employees","Business or organization can continue to operate for 3 months to less than 6 months","Percent","239","units","0","v1229281848","1.19.3","11.1","A","","","1"
"2020","Canada","2016A000011124","1 to 4 employees","Business or organization can continue to operate for 6 months to less than 12 months","Percent","239","units","0","v1229281862","1.19.4","12.0","A","","","1"
"2020","Canada","2016A000011124","1 to 4 employees","Business or organization can continue to operate for 12 months or more","Percent","239","units","0","v1229281876","1.19.5","41.0","A","","","1"
"2020","Canada","2016A000011124","5 to 19 employees","Business or organization can continue to operate for less than 1 month","Percent","239","units","0","v1229281988","1.20.1","0.6","A","","","1"
"2020","Canada","2016A000011124","5 to 19 employees","Business or organization can continue to operate for 1 month to less than 3 months","Percent","239","units","0","v1229282002","1.20.2","5.4","A","","","1"
"2020","Canada","2016A000011124","5 to 19 employees","Business or organization can continue to operate for 3 months to less than 6 months","Percent","239","units","0","v1229282016","1.20.3","11.6","A","","","1"
"2020","Canada","2016A000011124","5 to 19 employees","Business or organization can continue to operate for 6 months to less than 12 months","Percent","239","units","0","v1229282030","1.20.4","13.3","A","","","1"
"2020","Canada","2016A000011124","5 to 19 employees","Business or organization can continue to operate for 12 months or more","Percent","239","units","0","v1229282044","1.20.5","37.9","A","","","1"
"2020","Canada","2016A000011124","20 to 99 employees","Business or organization can continue to operate for less than 1 month","Percent","239","units","0","v1229282072","1.21.1","0.8","A","","","1"
"2020","Canada","2016A000011124","20 to 99 employees","Business or organization can continue to operate for 1 month to less than 3 months","Percent","239","units","0","v1229282086","1.21.2","5.3","A","","","1"
"2020","Canada","2016A000011124","20 to 99 employees","Business or organization can continue to operate for 3 months to less than 6 months","Percent","239","units","0","v1229282100","1.21.3","12.1","A","","","1"
"2020","Canada","2016A000011124","20 to 99 employees","Business or organization can continue to operate for 6 months to less than 12 months","Percent","239","units","0","v1229282114","1.21.4","11.0","A","","","1"
"2020","Canada","2016A000011124","20 to 99 employees","Business or organization can continue to operate for 12 months or more","Percent","239","units","0","v1229282128","1.21.5","39.5","A","","","1"
"2020","Canada","2016A000011124","100 or more employees","Business or organization can continue to operate for less than 1 month","Percent","239","units","0","v1229282156","1.22.1","0.4","A","","","1"
"2020","Canada","2016A000011124","100 or more employees","Business or organization can continue to operate for 1 month to less than 3 months","Percent","239","units","0","v1229282170","1.22.2","4.3","A","","","1"
"2020","Canada","2016A000011124","100 or more employees","Business or organization can continue to operate for 3 months to less than 6 months","Percent","239","units","0","v1229282184","1.22.3","5.7","A","","","1"
"2020","Canada","2016A000011124","100 or more employees","Business or organization can continue to operate for 6 months to less than 12 months","Percent","239","units","0","v1229282198","1.22.4","7.3","A","","","1"
"2020","Canada","2016A000011124","100 or more employees","Business or organization can continue to operate for 12 months or more","Percent","239","units","0","v1229282212","1.22.5","46.8","A","","","1"


