"REF_DATE","GEO","DGUID","Business characteristics","Length of time business or organization can continue to operate","Length of time","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","1 to 4 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, less than 1 month","Percent","239","units","0","v1278306635","1.19.2.1","0.8","A","","","1"
"2021","Canada","2016A000011124","1 to 4 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 1 month to less than 3 months","Percent","239","units","0","v1278306636","1.19.2.2","1.0","A","","","1"
"2021","Canada","2016A000011124","1 to 4 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 3 months to less than 6 months","Percent","239","units","0","v1278306637","1.19.2.3","1.4","A","","","1"
"2021","Canada","2016A000011124","1 to 4 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 6 months to less than 12 months","Percent","239","units","0","v1278306638","1.19.2.4","3.6","A","","","1"
"2021","Canada","2016A000011124","1 to 4 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 12 months or more","Percent","239","units","0","v1278306639","1.19.2.5","51.2","A","","","1"
"2021","Canada","2016A000011124","5 to 19 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, less than 1 month","Percent","239","units","0","v1278306659","1.20.2.1","0.1","A","","","1"
"2021","Canada","2016A000011124","5 to 19 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 1 month to less than 3 months","Percent","239","units","0","v1278306660","1.20.2.2","0.8","A","","","1"
"2021","Canada","2016A000011124","5 to 19 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 3 months to less than 6 months","Percent","239","units","0","v1278306661","1.20.2.3","3.2","A","","","1"
"2021","Canada","2016A000011124","5 to 19 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 6 months to less than 12 months","Percent","239","units","0","v1278306662","1.20.2.4","3.8","A","","","1"
"2021","Canada","2016A000011124","5 to 19 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 12 months or more","Percent","239","units","0","v1278306663","1.20.2.5","55.1","A","","","1"
"2021","Canada","2016A000011124","20 to 99 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, less than 1 month","Percent","239","units","0","v1278306671","1.21.2.1","0.4","A","","","1"
"2021","Canada","2016A000011124","20 to 99 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 1 month to less than 3 months","Percent","239","units","0","v1278306672","1.21.2.2","1.2","A","","","1"
"2021","Canada","2016A000011124","20 to 99 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 3 months to less than 6 months","Percent","239","units","0","v1278306673","1.21.2.3","1.0","A","","","1"
"2021","Canada","2016A000011124","20 to 99 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 6 months to less than 12 months","Percent","239","units","0","v1278306674","1.21.2.4","1.9","A","","","1"
"2021","Canada","2016A000011124","20 to 99 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 12 months or more","Percent","239","units","0","v1278306675","1.21.2.5","62.9","A","","","1"
"2021","Canada","2016A000011124","100 or more employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, less than 1 month","Percent","239","units","0","v1278306683","1.22.2.1","0.1","A","","","1"
"2021","Canada","2016A000011124","100 or more employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 1 month to less than 3 months","Percent","239","units","0","v1278306684","1.22.2.2","0.3","A","","","1"
"2021","Canada","2016A000011124","100 or more employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 3 months to less than 6 months","Percent","239","units","0","v1278306685","1.22.2.3","0.6","A","","","1"
"2021","Canada","2016A000011124","100 or more employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 6 months to less than 12 months","Percent","239","units","0","v1278306686","1.22.2.4","0.7","A","","","1"
"2021","Canada","2016A000011124","100 or more employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 12 months or more","Percent","239","units","0","v1278306687","1.22.2.5","65.7","A","","","1"


